drugName,condition,review,rating,date,usefulCount
Latuda,Bipolar Disorde,"""From day one, my mood immediately improved. I felt happier and more energized and started enjoying life again. The problem I have with this medication, however, is that about an hour or two after taking, I am overcome with extreme exhaustion and have to sleep immediately. I can afford this thanks to the discount card, making it around $30 a month.""",8,19-Nov-14,75
Latuda,Schizophrenia,"""I take several meds for my mood disorder. It is difficult to truly evaluate the medication fully, but also I just started it one week ago. I am taking Latuda 40mg and I plan to ask the doctor to adjust it to 80mg. Some people experience restlessness which can be controlled with a sedative or congentin. I am still tapering off of Zyprexa and I am noticing some moodiness, but I also take Adderall which helps me concentrate and stay focus around people which is my biggest fear. I hope it works out for me as it does for others to.""",7,2-May-15,25
Latuda,Bipolar Disorde,"""I&#039;ve only been on latuda 2 weeks (20 mg) so I&#039;m rating this medication based on short-term use. 

It&#039;s been wonderful so far. I&#039;ve been on Lamictal + Neurontin for the past year and a half, and I was rapidly cycling instead of feeling genuinely stable or good. 

Latuda has really stabilized me. I feel &quot;good&quot; every day, if not really good/great. I have energy, but not manic/frenzied/restless. &quot;Good mood&quot; for me always carried the additional symptom of manic/tormenting agitation. 

I was afraid to take an antipsychotic because of the fear of weight gain. However, I have had no weight gain so far on Latuda. My appetite has been the same. 

I am also sleeping well. Latuda helps me fall asleep. No major side effects.""",9,3-May-17,23
Latuda,Schizophrenia,"""Few days on it. Ability didn&#039;t work for me. Doctor has me on cogentin and Inderal for akathisia. Taking Trilafon also. Quiting Klonopin slowly, taking Adderall for sleep issues: hypersomnia. Taking Paxil bc it was good in the past(20years ago). Slightly hypomanic which is good for socializing but not for calm mind. Can&#039;t keep a calm mind, not hearing voices, but having a discussion with imaginary person in my head. Is this Pyschosis bc I would hate to get off AD(Paxil) which is great for social phobia""",9,18-Nov-16,9
Latuda,Bipolar Disorde,"""Latuda didn&#039;t even come close to touching my bipolar depression. I kept waiting and waiting for it to work, but nothing happened. I ended up having a horrible depressive episode that almost got me hospitalized. Plus, I had to eat a 350 calorie snack with it, which was always difficult to figure out. On top of that, it would knock me out every night, which would be considered nice...if it didn&#039;t knock me out at 7-8pm.""",1,2-Aug-17,18
Latuda,Bipolar Disorde,"""I am in month 2 of taking Latuda. I have bipolar with psychotic features. When I started Latuda it was bad. I was sleeping all day and night. Then it switched... I was going to sleep at 10pm and would be wide awake at 4 am. I have lost weight since starting it which is welcome due to having gained weight on lithium. My moods are great and any irritability I experience subsides quickly. I have had no psychotic thoughts or actions since I started the Latuda. Even better, it has barely any side effects. I do notice a tiny bit of anxiety and restless legs though. But not every night. REMEMBER TO TAKE WITH 350 CALORIES OF FOOD.""",8,18-Aug-11,119
Latuda,Schizophrenia,"""At first I thought I had found a *miracle medicine* for my schitzoaffective disorder, as I was waking up early each morning with energy. Over time I noticed an increasingly strong yet underlying feeling of anxiety, which led me to have constant severe panic attacks. At one point I had to leave the mall as I had such a feeling of anxiety, terror and paranoia washing over me. If you are prone to anxiety or paranoia steer clear as you will likely feel out of control on this medication, especially at the doses above 10mg.""",3,11-Dec-17,0
Latuda,Bipolar Disorde,"""Been on Latuda 40MG for about three weeks. I&#039;m still having some depression, sadness, but not nearly what I was when I first started on it. My Psych DOC and I are considering a jump to 80MG, but I&#039;ll be trying to get pregnant soon. Other than that, I think it&#039;s doing okay.""",8,15-Apr-13,26
Latuda,Bipolar Disorde,"""Seems to really help stabilize me. I am not sure how long this medicine has been out for.""",7,21-May-12,20
Latuda,Schizophrenia,"""this medication gave me a bad reaction, it gave me restlessness in my legs and suicidal thoughts, i don&#039;t recommend this drug for me personally.""",1,8-Oct-16,11
Latuda,Bipolar Disorde,"""I&#039;ve always felt  like I live a totally parallel life to everyone around me - Never feeling like I am living a normal life. I was always way up or way down,  never a happy medium. Honestly, it was difficult to keep up the charade of tirelessly trying to hide what everyone but me already knew &amp; accepted - I was bipolar.  I have tried a flurry of medications in conjunction with my current medication, Adderall - as I have always been classic ADHD. The last medication I tried scared me from even trying any new medications as I suffered from some serious SE of Stevens-Johnson Synd. Reluctantly, I tried Latuda &amp; suddenly, my world was righted &amp; I feel normal. I&#039;ve never felt better in my entire life (aside from the headaches)  I&#039;m reborn baby !""",10,20-Mar-15,54
Latuda,Bipolar Disorde,"""For over a year I experimented with many different medicines for my Bipolar Depression without success until I started Latuda 3 months ago. I started at 20mgs, and am now at 80mgs and will be staying at this dosage. My depression has lifted, it has helped tremendously with my cognition (my brain &#039;fog), and I am an active participant in my own life now. As long as I take it at night with a meal or snack, I don&#039;t experience any side effects. If you take on an empty stomach, it makes you nauseous. The maker of Latuda has a patient assistance program as well. Overall, it has been a miracle for me!""",10,22-Dec-13,149
Latuda,Bipolar Disorde,"""This drug is AMAZING! My negativr thoughts and mood swings are a
Thing of the past.. FINALLY! Ive been on prozac, cymbalta, and fetzima (last one made me manic).. This is finally the one that worked for me! No side effects as of yet on 20 mg for 3 weeks.. Give it a
Try for stabilizing mood""",10,5-Jul-16,58
Latuda,Bipolar Disorde,"""I started taking latuda and had to stop due to pregnancy but prior to pregnancy I was taking latuda 40mg and vybriid and the two work amazing wonders together""",9,29-Sep-16,9
Latuda,Bipolar Disorde,"""Been on 20mg for only 2 weeks now and have noticed a good improvement in my mood. My dose has now been upped to 40 mg once a day. This drug so far has worked better than any antidepressant I have taken (Wellbutrin, Prozac, Effexor XR, Mirtazapine) and better than any antipsychotic I have taken (Zyprexa, Risperidone, Thorazine, Seroquel)

All antipsychotics I have taken so far have caused weight gain EXCEPT THIS ONE. Since taking it for 2 weeks I have LOST 3lbs without any major exercise BUT I have dropped calorie intake to around 1000-1200 a day). The only negative side effect I have had is staying asleep for longer than 5-6 hrs . I also have social anxiety but this medication hasn&#039;t helped with that (so far if possible) Highly recommend.""",8,25-Sep-13,64
Latuda,Bipolar Disorde,"""I was put on latuda 20 several months ago. It made my insomnia worse, increased my racing thoughts and I felt like I was in a constant state of panic. After discussing all of this with the doctor, she doubled the dosage. After 2 weeks with maybe an hour of sleep a night, no appetite, a constant racing mind, and disabling panic, I sought the advice of my PCP. He has been treating me for more than 10 years now and ordered me to immediately discontinue it. I&#039;m not completely cured by any means but the excessive symptoms are much more tolerable and I can usually sleep now.""",1,28-Aug-16,15
Latuda,Schizophrenia,"""Needs to be taken with food. Worked well for about a year then It gave me random bouts of severe depression and fatigue. I think when I was taking this I had more homicidal thoughts. Thank GOD I don&#039;t suffer from these side effects anymore. I&#039;ll stick to my abilify.""",2,28-Nov-15,6
Latuda,Bipolar Disorde,"""Been on Latuda for 2 months and for the first time in years I feel happy and content plus I&#039;m not flip flopping between mad confusion to hyperactive depression anymore.  It gives me that second to think before I react and that has been all the time I need to see where I could go down the angry paranoid path or CHOOSE to take another route.  My anxiety is almost gone with or without benzo&#039;s. I smile and have a positive outlook on things now.  The only reason I didn&#039;t give it a 10 is as of now it creates a very uncomfortable energy almost like I can&#039;t keep still.  So worth it to me I can deal with that.  I have been on all the anti crazy and bat shit loony meds out there and this so far has been the best.""",8,8-Jan-15,155
Latuda,Bipolar Disorde,"""Hated it""",1,18-May-15,18
Latuda,Bipolar Disorde,"""I started taking Latuda a month ago and it is the most debilitating drug I&#039;ve ever hadi feel like I can&#039;t move or have any motivation to do anything. Ive also gained 20 pounds. Im absolutely miserable. Do not take this! It&#039;s not worth feeling like a slug all day.""",1,25-Jun-16,23
Latuda,Bipolar Disorde,"""I&#039;ve been taking Latuda for about 2 months now. I enjoy life again, everyday I wake up feeling better than before. The intensity of feelings is amazing, I feel alive for the first time. No bad side effects as of now""",9,11-May-14,147
Latuda,Bipolar Disorde,"""Sure, I feel great. But I&#039;ve gained 20 pounds. I was 125, now I&#039;m nearly 150. I&#039;m a teenager, I don&#039;t need this. I don&#039;t even know why they put me on this drug in the first place.
Not to mention that my hands have been shakey and slow. I&#039;m an artist. This just isn&#039;t right for me.""",3,12-Aug-15,30
Latuda,Bipolar Disorde,"""For me, latuda is the best drug available and so far I&#039;ve lost 25lbs. My emotions are in check, paranoia and hallucinations are gone. I feel real and as close to normal than I&#039;ve been in a really, really long time. Other than a slight tremor, I&#039;ve noticed no other side effects
I&#039;d highly recommend trying this medication.""",10,23-Oct-16,48
Latuda,Bipolar Disorde,"""When I took Latuda, I had terrible back spasms that lasted for hours. I couldn&#039;t stop moving and when I sat down I had to rock back and forth for any comfort. I know that maybe it was because I took 120 mg a day but, when I started taking lower doses with cogentin it was just getting worse. I now have been off of it for almost a year and I have never felt better except with the occasional back pain. I know this may not help you but, know that there are always going to be people out there to support you. They gave me this drug at that dose when I was fourteen and I know why. I hope this helps in any way""",1,1-Aug-15,18
Latuda,Bipolar Disorde,"""I was recently taken off of lithium for bipolar because of my thyroid problems. I am very happy with Latuda. It works quickly and makes me feel normal for the most part. I have only had a little irritability, but it quickly subsided.  The main problem I have had with Latuda is drowsiness. I take it at night, but am still having a difficult time waking up. I&#039;m going to try taking it earlier, like right after dinner, and see if that helps me wake up earlier. I have to wake up by 6:00 a.m. once school starts again since I am a teacher.  I have been waking up around 10:00 a.m., and don&#039;t think that will work. I recommend trying Latuda!""",9,20-Jul-11,63
Latuda,Schizophrenia,"""Latuda was good at demolishing my hallucinations. I took Latuda for schizophrenia and bipolar disorder. However it didn&#039;t help my mood- it made it worse. Brought me either mad or deeply and dangerously depressed. It also made me have a large allergic reaction in my mouth, sores and bleeding.""",7,2-Jun-14,35
Latuda,Bipolar Disorde,"""I was put on it the last time I was inpatient and they upped it too much too fast.  I wound up being high off of it.  When I got out of the hospital, my insurance wouldn&#039;t cover it, so I stopped cold turkey.  I felt so much better once I got off of it.""",1,4-Oct-17,4
Latuda,Bipolar Disorde,"""Started with a month on 40mg and am now increased to 80mg. Happy that it&#039;s not making me too sleepy, actually waking around 5am, well before my alarm. Have lost some weight so happy with that. Still on the manic side so I asked for the increase and had my husband change my amazon password so I can&#039;t continue a spending spree. Some muscle soreness, not sure if that&#039;s the Latuda. And feeling like I over heat easily. Overall the side effects are tolerable and some of them welcomed. It&#039;s the first mood stabilizer that I haven&#039;t had horrible side effects with. I actually feel like it&#039;s helping me function better.""",8,1-Jul-12,50
Latuda,Bipolar Disorde,"""I have tried many medications over the years, mostly antidepressants but a few others like lamotrigine &amp; Seroquel. I must say that nothing has been more effective than Latuda. I was on Wellbutrin for a couple years, was ok. This does make me drowsy so I take it at night. I do have to take with food or will make me really nauseous. Truly a miracle drug as I was not doing well.""",10,27-Dec-13,134
Latuda,Bipolar Disorde,"""Took it for three days on third day had a breakdown while driving the medication made me very nervous and it ended with me having a severe anxiety attack, stopped taking it anxiety went away""",1,15-Oct-15,17
Latuda,Schizophrenia,"""I suffer from schizoaffective disorder with bipolar tendencies. Latuda can cause severe breast pain on high doses.  Definitely helps stop voices and completely resolves depression.""",10,27-Jun-14,63
Latuda,Bipolar Disorde,"""I have been on Latuda for a little over a year now. It&#039;s been extremely helpful for both mania and depression. I had psychotic mixed episodes, which Lithium did not help. On Latuda, I feel stable and like myself. However, I have &quot;mild&quot; akathisia, meaning I don&#039;t twitch, but I feel horrible if I take it during the day. I take it at night before bed with Lorazepam as needed, (I am probably going to switch to a more regular sleep med soon) and that pretty much solved the problem. The only issue is that it is expensive, but thankfully I have insurance that covers it after my deductible.""",9,26-Nov-15,24
Latuda,Bipolar Disorde,"""It&#039;s been a love, hate relationship with Latuda for me. After 2 months of using it, I noticed a significant change in my depression, which was fantastic. But, I experience SEVERE nausea even when I eat enough food. I have even thrown up about 6 or 7 times within my 7 months of taking it. Which is unpleasant to say the least. The nausea usually sets in about 30-45 minutes after taking and lasts anywhere from 5 minutes to an hour.""",5,12-Oct-14,101
Latuda,Bipolar Disorde,"""I was diagnosed with Bi-Polar II after being told I had Depression for about 2 years. My doctor prescribed me WellButrin, which I am still on and love. Following, I was put on Prozac to &quot;take my edge off&quot; and I took it for 2 years but it gave me horrible nightmares and I am now off of it. My doctor then prescribed me Latuda. I have been on it for about 3-4 weeks and have loved it. Before I was diagnosed with type II I had no idea why I would be so upset one day but feel great with an abundance of energy the next day. It was my cycles. I cycle very frequently, however, the Latuda has helped me stay constant and stable. I don&#039;t get upset over stupid things anymore (and they were stupid) and now have a better capability of letting things go.""",10,1-Mar-13,104
Latuda,Bipolar Disorde,"""I was suicidal and depressed for months. Feels like years. I&#039;m on Wellbutrin as well but have been for years with no improvement. Latuda at 40 mgs has changed my life in 3 weeks. I&#039;m not manic. I&#039;m just normal and happy. High stress situations don&#039;t make me spiral, setbacks aren&#039;t out of proportion and damn if I&#039;m not in awe that people live like this naturally and take it for granted.""",10,18-Nov-14,156
Latuda,Bipolar Disorde,"""I&#039;ve been on Latuda for 8 months now. Got off Risperdal which made me zombie like. I am taking 120mg of Latuda and love this medication. It has been successful in treating my depression/irritability. I am also taking Viibryd and Welbutrin. I have experienced NO weight gain. I recommend giving this medication a try if all others fail.""",10,11-Jun-15,45
Latuda,Bipolar Disorde,"""This has been a miracle! I went from avoiding everyone and everything even cleaning or talking to friends. I&#039;ve started doing everything around the house, I&#039;ve been able to stand up for myself. I&#039;m happy every day. Gone are the I&#039;m having a bad day, only drawback 1st 3 weeks I had to take it at bedtime because I was very nervous and jittery, that subsided, no problems with stomach have not lost any weight but I&#039;m much more active. Like night and day difference. I&#039;m so happy.""",10,11-Nov-12,107
Latuda,Bipolar Disorde,"""While some give high ratings, I cannot. Within a week of starting it, it gave me what seemed like full-day long panic attacks and I wept for hours. I would later find out it was akathisia which wreaked havoc on my anxiety and paranoia. Not for me!""",1,10-Mar-17,11
Latuda,Bipolar Disorde,"""Wonderful drug if you are bipolar and type A personality, lots of energy and almost no side effects , I have to work out or run almost everyday and have a healthy diet if not the drug is too much to handle for me""",10,12-Oct-15,29
Latuda,Bipolar Disorde,"""Didn&#039;t do a thing for my depression. After taking it for just 3months , I came down with the movement disorder. I could not stop suckling and moving my tongue! I would make my tongue raw. I could stop only by chewing gum. Even after having been off the it for almost a year, I still have a problem with my tongue movements. It isn&#039;t as bad and I can stop myself from doing it most of the time. I would not recommend this drug to anyone. I was on a very low dose. Some people come down with worse movement disorders than I did. Only take this if you are so depressed you may commit suicide. Otherwise, don&#039;t do it. Stay with antidepressants and natural remedies. Like NAC, folate etc..""",1,11-Apr-16,22
Latuda,Bipolar Disorde,"""Diagnosed 20  years ago with bipolar 1.  Struggled for years to try and manage depression with Paxil and anti anxiety meds.  The ups and downs were absolutely wearing me out!  Finally, Latuda was advised by my therapist for my psych to prescribe.  8 days in and I feel almost normal!  I say &quot;almost&quot; since there is that little uncertainty with any new medicine that it will have staying power.  So far, so good!""",8,28-Dec-14,73
Latuda,Bipolar Disorde,"""It worked great at 40mg, I had some slight tongue swelling, just thought I needed caffeine because that solved the issue. We upped it to 80mg after 3 years of being on it. Had to go to the hospital for a severe allergic reaction. I kept taking it at 40 but even then the allergic reactions were mild but still happening. Accidentally took it twice within 8 hours and was again taken to the hospital. Some ingredient in there I&#039;m allergic too.""",7,27-Sep-17,2
Latuda,Bipolar Disorde,"""my doctor gave me latuda because I wanted to stop zyprexa and seroquel because of the weight gain. She told me that latuda doesn&#039;t cause weight gain. I took 40mg and it seem to work pretty well it wasn&#039;t as great as zyprexa but it worked well........but I had to stop because even though my insurance covered the drugs, the copay cost me $500 which I obviously cannot afford. So am going cold turkey on everything.....why cant I just be normal?""",8,14-Feb-17,24
Latuda,Bipolar Disorde,"""This drug is very affective but the side effects are kinda crappy!!! I would get stiffness in my neck and spasms in my back that were hard to deal with.""",4,12-Feb-17,17
Latuda,Bipolar Disorde,"""I am bi polar 1 and I take 80 mg of Latuda and 150 mg of Lamictal. I feel wonderful. I&#039;ve been healthy and stable for 8 1/2 months.""",10,22-Dec-15,37
Latuda,Bipolar Disorde,"""So tonight was my first 20mg Latuda at dinner and I was super afraid that akathesia (a restlessness from taking antipsychotic pills) would happen. But so far so good. I guess some people get it and some dont.""",5,20-Oct-16,16
Latuda,Bipolar Disorde,"""After over a period of 17 years and trying a crazy amount of other drugs I&#039;m happy to report I feel better then I have in 25 years. It&#039;s been a struggle. I&#039;m no longer suicidal which is a miracle. I feel good but not flat. No side effects. Anyway good stuff. Perfect for me.""",10,19-Oct-15,34
Latuda,Schizophrenia,"""I have been taking this medication for 2 years now. First year, it worked like a wonder pill. Minimal side effects such as nausea and drowsiness after in jesting it. Some times I would have a feeling of impending doom like if my life was going to end after I took the pill. Later this medicine turned out horrible. I don&#039;t know what a night sleep is. It causes me severe insomnia. I feel always tired even after sleeping 15 hours.  I&#039;m suffering from a severe depression from this medicine. It makes me irritable and angry. It drains me of motivation.  The only thing I can say good about this medicine, is that it has caused me no weight gain whatsoever. This medication drains me from being able to live life.""",6,19-Jun-16,17
Latuda,Bipolar Disorde,"""I have been on Latuda for over three years. My cycles are very rapid and this drug has saved my life. I take one 120mg pill at night. Wow what a difference. My mania is under control and I have less episodes of depression. Having a dual diagnosis I am very comfortable with this medication. I was on lithium for over 11 years and that worked well until I almost had kidney failure due to toxic drug levels. I would recommend Latuda to any bipolar client that is dealing stability and a once a day simple administration.""",9,13-Jun-16,49
Latuda,Bipolar Disorde,"""Just started taking Latuda 2 days ago.  I may be psychologically thinking it&#039;s starting to work already.  But I know it&#039;s just wishful thinking.  Been on 20mg of Prozac, 100mg of Lamictal, .5mg Ativan &amp; 100mg of trazadone for 15 years.  Hopefully I can quit the Prozac altogather.  Will see, very hopeful.""",5,24-Jul-16,17
Latuda,Schizophrenia,"""Latuda is the best thing that has ever happened to me. The only thing I can complain about is the price and the zero appetite it gives me. It does cause severe drowsiness about 2 hours after taking it from me, but when I wake up I am refreshed and full of energy. Which is something I have never experienced. Being schizophrenic since I was 7, how I feel today is a God send. Thanks to Latuda I am finally starting to form a life.""",10,15-Aug-13,109
